N;N-Inaorig;Proband;Age;Sprache;Expression;Group;TypeDet;Type;PronNP;Character;Function
LL01;NIO1;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL02;NIO2;3;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL03;NIO3;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL04;NIO4;3;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL05;NIO5;3;Adults;Mon;Ø;1;NSA;null;Pron;Main;Reintroduction
LL06;NIO6;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL07;NIO7;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL08;NIO8;3;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL09;NIO9;3;Adults;Mon;Tim, Max und Bello;1;EN | EN | EN;Name;NP;Main;Reintroduction
LL10;NIO10;3;Adults;Mon;[vor] ihnen;1;PP;Pron;Pron;Main;Maintenance
LL11;NIO12;3;Adults;Mon;die;1;RP;Pron;Pron;Secondary;Maintenance
LL12;NIO13;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL13;NIO14;3;Adults;Mon;die beiden;1;defNP;defNP;NP;Secondary;Reintroduction
LL14;NIO15;3;Adults;Mon;[von] ihnen;1;PP;Pron;Pron;Main;Maintenance
LL15;NIO16;3;Adults;Mon;Ø;1;NSA;null;Pron;Secondary;Maintenance
LL16;NIO17;7;Adults;Mon;Tim, Max und Bello;1;EN | EN | EN;Name;NP;Main;Reintroduction
LL17;NIO18;7;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Reintroduction
LL18;NIO19;7;Adults;Mon;Max;1;EN   ;Name;NP;Main;Reintroduction
LL19;NIO20;7;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL20;;7;Adults;Mon;[vor] ihnen;1;Pron;Pron;Pron;Main;Reintroduction
LL21;NIO21;7;Adults;Mon;Tim ;1;EN;Name;NP;Main;Reintroduction
LL22;NIO22;7;Adults;Mon;[Auf dem Berg vor] ihnen;1;PP;Pron;Pron;Main;Reintroduction
LL23;NIO23;7;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL24;NIO24;7;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL25;NIO25;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL26;NIO26;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL27;NIO27;7;Adults;Mon;Die beiden Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL28;NIO28;7;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL29;NIO29;7;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL30;NIO30;7;Adults;Mon;den beiden Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL31;NIO31;7;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL32;NIO32;7;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL33;NIO34;7;Adults;Mon;Die Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL34;NIO35;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL35;NIO37;7;Adults;Mon;Ø;1;NSA;null;Pron;Secondary;Maintenance
LL36;NIO38;7;Adults;Mon;Tim und Max;1;EN | EN  ;Name;NP;Main;Maintenance
LL37;NIO39;7;Adults;Mon;Bello;1;EN ;Name;NP;Main;Reintroduction
LL38;NIO40;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL39;NIO41;7;Adults;Mon;der kleinere Schatten;1;defNP;defNP;NP;Secondary;Reintroduction
LL40;NIO43;7;Adults;Mon;Der Kobold;1;defNP;defNP;NP;Secondary;Maintenance
LL41;NIO44;7;Adults;Mon;[wie] der große Troll;1;defNP;defNP;NP;Secondary;Reintroduction
LL42;NIO45;7;Adults;Mon;er;1;PP;Pron;Pron;Secondary;Maintenance
LL43;NIO46;7;Adults;Mon;[zu] den Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL44;NIO47;7;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL45;GL1;7;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL46;NIO48;7;Adults;Mon;der Kobold ;1;defNP;defNP;NP;Secondary;Reintroduction
LL47;NIO49;7;Adults;Mon;beide;1;IP;Pron;Pron;Main;Reintroduction
LL48;NIO50;7;Adults;Mon;er und der Troll;1;PP | def NP;defNP;NP;Secondary;Reintroduction
LL49;NIO51;7;Adults;Mon;der;1;RP;Pron;Pron;Secondary;Reintroduction
LL50;NIO52;7;Adults;Mon;[auf] die Jungs und den Hund;1;defNP | defNP;defNP;NP;Main;Reintroduction
LL51;NIO53;7;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL52;NIO54;7;Adults;Mon;er und seine Freunde;1;PP | def NP;defNP;NP;Main;Reintroduction
LL53;NIO55;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL54;NIO56;7;Adults;Mon;Die Kreaturen;1;defNP;defNP;NP;Secondary;Reintroduction
LL55;NIO57;7;Adults;Mon;ihnen;1;PP;Pron;Pron;Main;Maintenance
LL56;NIO58;7;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL57;NIO59;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL58;NIO60;16;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL59;NIO61;16;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL60;NIO62;16;Adults;Mon;Tim und Max;1;EN | EN;Name;NP;Main;Reintroduction
LL61;NIO63;16;Adults;Mon;den Wachhund;1;defNP;defNP;NP;Main;Reintroduction
LL62;NIO64;16;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL63;NIO65;16;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL64;NIO66;16;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL65;NIO67;16;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL66;NIO68;16;Adults;Mon;Sie ;1;PP;Pron;Pron;Main;Reintroduction
LL67;NIO69;16;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL68;NIO70;16;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL69;NIO71;16;Adults;Mon;Max, Tim und Bello;1;EN | EN | EN;Name;NP;Main;Reintroduction
LL70;NIO72;16;Adults;Mon;Die große Gestallt;1;defNP;defNP;NP;Secondary;Reintroduction
LL71;NIO73;16;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL72;NIO74;16;Adults;Mon;Die zwei gruseligen Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL73;NIO75;16;Adults;Mon;Sie;1;PP;Pron;Pron;Secondary;Maintenance
LL74;NIO76;16;Adults;Mon;sie;1;PP;Pron;Pron;Secondary;Maintenance
LL75;NIO77;16;Adults;Mon;Max und Tim;1;EN | EN;Name;NP;Main;Reintroduction
LL76;NIO78;16;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL77;NIO79;16;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL78;NIO80;16;Adults;Mon;Er;1;PP;Pron;Pron;Main;Maintenance
LL79;;16;Adults;Mon;die Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL80;NIO81;16;Adults;Mon;Max und Tim ;1;EN | EN;Name;NP;Main;Reintroduction
LL81;NIO82;16;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL82;NIO83;16;Adults;Mon;die Monster;1;defNP;defNP;NP;Secondary;Reintroduction
LL83;NIO84;16;Adults;Mon;[mit] Bello ;1;EN;Name;NP;Main;Reintroduction
LL84;NIO85;21;Adults;Mon;die beiden Freunde und der Hund Bello;1;defNP | defNP+EN;defNP;NP;Main;Maintenance
LL85;NIO86;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL86;NIO87;21;Adults;Mon;Die Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL87;NIO88;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL88;NIO90;21;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL89;NIO91;21;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL90;NIO92;21;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL91;NIO93;21;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL92;NIO94;21;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Reintroduction
LL93;NIO95;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL94;NIO96;21;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL95;NIO97;21;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL96;NIO98;21;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Reintroduction
LL97;NIO99;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL98;NIO100;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL99;NIO101;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL100;NIO102;21;Adults;Mon;Er;1;PP;Pron;Pron;Secondary;Reintroduction
LL101;NIO103;21;Adults;Mon;die beiden Freunde u;1;defNP;defNP;NP;Main;Reintroduction
LL102;NIO104;21;Adults;Mon;die zwei Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL103;NIO105;21;Adults;Mon;[auf] die beiden Jungs;1;defNP;defNP;NP;Main;Maintenance
LL104;NIO106;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL105;NIO107;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL106;NIO108;21;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL107;NIO109;21;Adults;Mon;er;1;PP;Pron;Pron;Main;Maintenance
